Radians,Tan Value
0.0,0.0
0.017453292519943295,0.017455064928217585
0.03490658503988659,0.03492076949174773
0.05235987755982989,0.05240777928304121
0.06981317007977318,0.06992681194351041
0.08726646259971647,0.08748866352592401
0.10471975511965978,0.10510423526567647
0.12217304763960307,0.1227845609029046
0.13962634015954636,0.14054083470239145
0.15707963267948966,0.15838444032453627
0.17453292519943295,0.17632698070846498
0.19198621771937624,0.19438030913771848
0.20943951023931956,0.21255656167002213
0.22689280275926285,0.23086819112556312
0.24434609527920614,0.24932800284318068
0.2617993877991494,0.2679491924311227
0.2792526803190927,0.2867453857588079
0.29670597283903605,0.3057306814586604
0.3141592653589793,0.3249196962329063
0.33161255787892263,0.34432761328966527
0.3490658503988659,0.36397023426620234
0.3665191429188092,0.3838640350354158
0.3839724354387525,0.4040262258351568
0.4014257279586958,0.42447481620960476
0.4188790204786391,0.4452286853085362
0.4363323129985824,0.4663076581549986
0.4537856055185257,0.48773258856586144
0.47123889803846897,0.5095254494944288
0.4886921905584123,0.5317094316614788
0.5061454830783556,0.554309051452769
0.5235987755982988,0.5773502691896257
0.5410520681182421,0.6008606190275604
0.5585053606381855,0.6248693519093275
0.5759586531581288,0.6494075931975106
0.5934119456780721,0.6745085168424267
0.6108652381980153,0.7002075382097097
0.6283185307179586,0.7265425280053609
0.6457718232379019,0.7535540501027942
0.6632251157578453,0.7812856265067174
0.6806784082777885,0.809784033195007
0.6981317007977318,0.8390996311772799
0.7155849933176751,0.8692867378162267
0.7330382858376184,0.9004040442978399
0.7504915783575618,0.9325150861376618
0.767944870877505,0.9656887748070739
0.7853981633974483,0.9999999999999999
0.8028514559173916,1.0355303137905696
0.8203047484373349,1.0723687100246826
0.8377580409572782,1.110612514829193
0.8552113334772214,1.1503684072210094
0.8726646259971648,1.19175359259421
0.8901179185171081,1.2348971565350515
0.9075712110370514,1.2799416321930788
0.9250245035569946,1.3270448216204098
0.9424777960769379,1.3763819204711734
0.9599310885968813,1.4281480067421144
0.9773843811168246,1.4825609685127403
0.9948376736367679,1.539864963814583
1.0122909661567112,1.6003345290410507
1.0297442586766545,1.6642794823505183
1.0471975511965976,1.7320508075688767
1.064650843716541,1.8040477552714236
1.0821041362364843,1.8807264653463318
1.0995574287564276,1.9626105055051504
1.117010721276371,2.050303841579296
1.1344640137963142,2.1445069205095586
1.1519173063162575,2.2460367739042164
1.1693705988362009,2.355852365823753
1.1868238913561442,2.4750868534162964
1.2042771838760873,2.6050890646938005
1.2217304763960306,2.7474774194546216
1.239183768915974,2.904210877675822
1.2566370614359172,3.077683537175253
1.2740903539558606,3.2708526184841404
1.2915436464758039,3.4874144438409087
1.3089969389957472,3.7320508075688776
1.3264502315156905,4.0107809335358455
1.3439035240356338,4.331475874284157
1.361356816555577,4.704630109478451
1.3788101090755203,5.144554015970307
1.3962634015954636,5.671281819617707
1.413716694115407,6.313751514675041
1.4311699866353502,7.115369722384207
1.4486232791552935,8.144346427974593
1.4660765716752369,9.514364454222587
1.4835298641951802,11.430052302761348
1.5009831567151235,14.300666256711942
1.5184364492350666,19.08113668772816
1.53588974175501,28.636253282915515
1.5533430342749532,57.289961630759144
1.5707963267948966,1.633123935319537e+16
1.5882496193148399,-57.28996163075955
1.6057029118347832,-28.636253282915614
1.6231562043547265,-19.081136687728208
1.6406094968746698,-14.30066625671192
1.6580627893946132,-11.430052302761336
1.6755160819145565,-9.514364454222576
1.6929693744344996,-8.144346427974602
1.710422666954443,-7.115369722384213
1.7278759594743862,-6.313751514675046
1.7453292519943295,-5.671281819617711
1.7627825445142729,-5.144554015970311
1.7802358370342162,-4.704630109478454
1.7976891295541595,-4.331475874284155
1.8151424220741028,-4.010780933535844
1.8325957145940461,-3.7320508075688763
1.8500490071139892,-3.48741444384091
1.8675022996339325,-3.270852618484142
1.8849555921538759,-3.077683537175254
1.9024088846738192,-2.904210877675823
1.9198621771937625,-2.7474774194546225
1.9373154697137058,-2.6050890646938014
1.9547687622336491,-2.4750868534162955
1.9722220547535925,-2.3558523658237527
1.9896753472735358,-2.2460367739042155
2.007128639793479,-2.1445069205095595
2.0245819323134224,-2.0503038415792956
2.0420352248333655,-1.962610505505151
2.059488517353309,-1.8807264653463314
2.076941809873252,-1.804047755271424
2.0943951023931953,-1.7320508075688783
2.111848394913139,-1.6642794823505178
2.129301687433082,-1.6003345290410511
2.1467549799530254,-1.5398649638145827
2.1642082724729685,-1.4825609685127408
2.181661564992912,-1.4281480067421142
2.199114857512855,-1.3763819204711738
2.2165681500327987,-1.3270448216204096
2.234021442552742,-1.2799416321930788
2.251474735072685,-1.234897156535052
2.2689280275926285,-1.19175359259421
2.2863813201125716,-1.15036840722101
2.303834612632515,-1.1106125148291928
2.321287905152458,-1.0723687100246828
2.3387411976724017,-1.0355303137905694
2.356194490192345,-1.0000000000000002
2.3736477827122884,-0.9656887748070737
2.3911010752322315,-0.9325150861376618
2.4085543677521746,-0.9004040442978404
2.426007660272118,-0.8692867378162267
2.443460952792061,-0.8390996311772804
2.4609142453120048,-0.809784033195007
2.478367537831948,-0.7812856265067176
2.4958208303518914,-0.753554050102794
2.5132741228718345,-0.726542528005361
2.530727415391778,-0.7002075382097096
2.548180707911721,-0.6745085168424267
2.5656340004316642,-0.649407593197511
2.5830872929516078,-0.6248693519093275
2.600540585471551,-0.6008606190275607
2.6179938779914944,-0.5773502691896257
2.6354471705114375,-0.5543090514527691
2.652900463031381,-0.5317094316614787
2.670353755551324,-0.5095254494944289
2.6878070480712677,-0.48773258856586127
2.705260340591211,-0.46630765815499864
2.722713633111154,-0.4452286853085365
2.7401669256310974,-0.42447481620960476
2.7576202181510405,-0.40402622583515707
2.775073510670984,-0.3838640350354158
2.792526803190927,-0.36397023426620256
2.8099800957108707,-0.34432761328966516
2.827433388230814,-0.32491969623290645
2.8448866807507573,-0.3057306814586602
2.8623399732707004,-0.286745385758808
2.8797932657906435,-0.267949192431123
2.897246558310587,-0.2493280028431807
2.91469985083053,-0.23086819112556334
2.9321531433504737,-0.2125565616700221
2.949606435870417,-0.19438030913771864
2.9670597283903604,-0.1763269807084649
2.9845130209103035,-0.1583844403245364
3.001966313430247,-0.14054083470239132
3.01941960595019,-0.12278456090290465
3.036872898470133,-0.10510423526567673
3.0543261909900767,-0.08748866352592402
3.07177948351002,-0.06992681194351064
3.0892327760299634,-0.052407779283041175
3.1066860685499065,-0.034920769491747904
3.12413936106985,-0.01745506492821751
3.141592653589793,-1.2246467991473532e-16
3.1590459461097367,0.01745506492821771
3.1764992386296798,0.034920769491747654
3.193952531149623,0.05240777928304093
3.2114058236695664,0.06992681194351039
3.2288591161895095,0.08748866352592378
3.246312408709453,0.10510423526567649
3.263765701229396,0.1227845609029044
3.2812189937493397,0.1405408347023915
3.2986722862692828,0.15838444032453616
3.3161255787892263,0.1763269807084651
3.3335788713091694,0.1943803091377184
3.351032163829113,0.2125565616700223
3.368485456349056,0.2308681911255631
3.385938748868999,0.24932800284318044
3.4033920413889427,0.2679491924311227
3.420845333908886,0.28674538575880776
3.4382986264288293,0.30573068145866045
3.4557519189487724,0.3249196962329062
3.473205211468716,0.3443276132896654
3.490658503988659,0.3639702342662023
3.5081117965086026,0.383864035035416
3.5255650890285457,0.4040262258351568
3.543018381548489,0.4244748162096045
3.5604716740684323,0.44522868530853615
3.5779249665883754,0.46630765815499836
3.595378259108319,0.4877325885658615
3.612831551628262,0.5095254494944287
3.6302848441482056,0.5317094316614789
3.6477381366681487,0.5543090514527688
3.6651914291880923,0.577350269189626
3.6826447217080354,0.6008606190275604
3.7000980142279785,0.6248693519093271
3.717551306747922,0.6494075931975106
3.735004599267865,0.6745085168424263
3.7524578917878086,0.7002075382097098
3.7699111843077517,0.7265425280053607
3.7873644768276953,0.7535540501027943
3.8048177693476384,0.7812856265067173
3.822271061867582,0.8097840331950074
3.839724354387525,0.8390996311772799
3.857177646907468,0.8692867378162262
3.8746309394274117,0.9004040442978399
3.8920842319473548,0.9325150861376613
3.9095375244672983,0.9656887748070742
3.9269908169872414,0.9999999999999997
3.944444109507185,1.0355303137905696
3.961897402027128,1.0723687100246824
3.9793506945470716,1.1106125148291932
3.9968039870670147,1.1503684072210094
4.014257279586958,1.1917535925942093
4.031710572106901,1.2348971565350502
4.049163864626845,1.2799416321930794
4.066617157146788,1.32704482162041
4.084070449666731,1.3763819204711731
4.101523742186674,1.4281480067421135
4.118977034706618,1.4825609685127412
4.136430327226561,1.5398649638145834
4.153883619746504,1.6003345290410502
4.171336912266447,1.664279482350517
4.1887902047863905,1.7320508075688754
4.2062434973063345,1.804047755271425
4.223696789826278,1.8807264653463323
4.241150082346221,1.9626105055051497
4.258603374866164,2.0503038415792942
4.276056667386108,2.1445069205095604
4.293509959906051,2.246036773904217
4.310963252425994,2.3558523658237522
4.328416544945937,2.4750868534162938
4.34586983746588,2.605089064693798
4.363323129985824,2.7474774194546243
4.380776422505767,2.904210877675823
4.39822971502571,3.077683537175252
4.4156830075456535,3.2708526184841364
4.4331363000655974,3.4874144438409127
4.4505895925855405,3.732050807568879
4.468042885105484,4.010780933535844
4.485496177625427,4.33147587428415
4.50294947014537,4.704630109478443
4.520402762665314,5.144554015970316
4.537856055185257,5.67128181961771
4.5553093477052,6.313751514675036
4.572762640225143,7.115369722384189
